Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
75,Promising Young Woman,18854166.0,"64,60,965",34.30%,"1,23,93,201",65.70%,2020
76,Takizawa Enbujo Zero,18091395.0,0,0,"1,80,91,395",100%,2020
77,Freaky,18073433.0,"90,30,855",50%,"90,42,578",50%,2020
78,The Promised Neverland,17710977.0,0,0,"1,77,10,977",100%,2020
79,Kaiji: Final Game,17645779.0,0,0,"1,76,45,779",100%,2020
80,Hitman: Agent Jun,17601351.0,0,0,"1,76,01,351",100%,2020
81,Digimon Adventure: Last Evolution Kizuna,17361009.0,0,0,"1,73,61,009",100%,2020
82,Bye Bye Morons,16955924.0,0,0,"1,69,55,924",100%,2020
83,Baaghi 3,16726510.0,"7,21,439",4.30%,"1,60,05,071",95.70%,2020
84,I Still Believe,16069730.0,"98,68,521",61.40%,"62,01,209",38.60%,2020
85,The Way Back,15490514.0,"1,35,90,514",87.70%,"19,00,000",12.30%,2020
86,Father There is Only One 2,15373181.0,0,0,"1,53,73,181",100%,2020
87,The Personal History of David Copperfield,14399270.0,"18,76,298",13%,"1,25,22,972",87%,2020
88,Nightlife,14308789.0,0,0,"1,43,08,789",100%,2020
89,Pawn,14193957.0,0,0,"1,41,93,957",100%,2020
90,The Post 2020 Re0release,13995207.0,0,0,"1,39,95,207",100%,2020
91,#Alive,13432212.0,0,0,"1,34,32,212",100%,2020
92,Howling Village,13394556.0,0,0,"1,33,94,556",100%,2020
93,Come Play,13182254.0,"1,04,75,990",79.50%,"27,06,264",20.50%,2020
94,Samjin Company English Class,12761386.0,0,0,"1,27,61,386",100%,2020
95,Another Round,12745392.0,0,0,"1,27,42,455",100%,2020
96,News of the World,12668325.0,"1,26,68,325",100%,0,0,2020
97,Collectors,12640113.0,0,0,"1,26,40,113",100%,2020
98,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,12221804.0,0,0,"1,22,21,804",100%,2020
99,Ducobu 3,12157793.0,0,0,"1,21,57,793",100%,2020
100,The Asadas,11888743.0,0,0,"1,18,88,743",100%,2020
101,Wotakoi: Love Is Hard for Otaku,11702371.0,0,0,"1,17,02,371",100%,2020
102,Bigfoot Family,11126309.0,0,0,"1,11,26,309",100%,2020
103,30 jours max,11007713.0,0,0,"1,10,07,713",100%,2020
104,The Voice of Sin,10983063.0,0,0,"1,09,83,063",100%,2020
105,Two by Two: Overboard!,10885076.0,0,0,"1,08,85,076",100%,2020
106,Let Him Go,10835686.0,"93,58,025",86.40%,"14,77,661",13.60%,2020
107,One Second,10791301.0,0,0,"1,07,91,301",100%,2020
108,Me contro Te 0 Il film: La vendetta del Signor S,10779891.0,0,0,"1,07,79,891",100%,2020
109,Impractical Jokers: The Movie,10691091.0,"1,06,91,091",100%,0,0,2020
110,Honest Candidate,10597464.0,0,0,"1,05,97,464",100%,2020
111,The Hunt,10550350.0,"58,12,500",55.10%,"47,37,850",44.90%,2020
112,Street Dancer 3D,10339127.0,0,0,"1,03,39,127",100%,2020
113,My Spy,10200000.0,0,0,"1,02,00,000",100%,2020
114,100% Wolf,9766489.0,"6,58,764",6.70%,"91,07,725",93.30%,2020
115,Stolen Identity 2,9687188.0,0,0,"96,87,188",100%,2020
116,Inception 10th Anniversary re0release,9581100.0,0,0,"95,81,100",100%,2020
117,10 Days with Dad,9472077.0,"2,359",0,"94,69,718",100%,2020
118,Secret Zoo,9471940.0,0,0,"94,71,940",100%,2020
119,365 Days,9458590.0,0,0,"94,58,590",100%,2020
120,Okay Madam,9433525.0,0,0,"94,33,525",100%,2020
121,L'appel de la forêt,9317347.0,0,0,"93,17,347",100%,2020
122,The Closet,9189552.0,0,0,"91,89,552",100%,2020
123,Malasaña 32,8968845.0,0,0,"89,68,845",100%,2020
124,Break the Silence: The Movie,8954345.0,0,0,"89,54,345",100%,2020
125,I Hate Summer,8926071.0,0,0,"89,26,071",100%,2020
126,Downhill,8899195.0,"82,87,061",93.10%,"6,12,134",6.90%,2020
127,Les blagues de Toto,8859185.0,0,0,"88,59,185",100%,2020
128,The Secret Garden,8721243.0,0,0,"87,21,243",100%,2020
129,Eltilerin Savasi,8613864.0,0,0,"86,13,864",100%,2020
130,Malang,8399765.0,0,0,"83,99,765",100%,2020
131,Your Eyes Tell,8020474.0,0,0,"80,20,474",100%,2020
132,"My Donkey, My Lover & I",7974769.0,"1,52,184",1.90%,"78,21,615",98.10%,2020
133,AI Amok,7932191.0,0,0,"79,32,191",100%,2020
134,The Lost Prince,7837980.0,0,0,"78,37,980",100%,2020
135,Antebellum,7792716.0,0,0,"77,92,716",100%,2020
136,The Marriage Escape,7760946.0,0,0,"77,60,946",100%,2020
137,Spirited Away Studio Ghibli Fest 2020,7732697.0,0,0,"77,32,435",100%,2020
138,Princess Mononoke Studio Ghibli Fest 2020,7673800.0,0,0,"76,73,207",100%,2020
139,The Heist of the Century,7627100.0,0,0,"76,27,100",100%,2020
140,De Gaulle,7501454.0,0,0,"75,01,454",100%,2020
141,Fukushima 50,7494243.0,0,0,"74,94,243",100%,2020
142,The Best Years,7358771.0,0,0,"73,58,771",100%,2020
143,Bohemian Rhapsody 2020 Re0release,7158262.0,"2,40,000",3.40%,"69,14,052",96.60%,2020
144,The (UN)perfect Guy,7154649.0,0,0,"71,54,649",100%,2020
145,Spycies,7128952.0,0,0,"71,28,952",100%,2020
146,Back to the Wharf,7090000.0,0,0,"70,90,000",100%,2020
147,Adu,7085946.0,0,0,"70,85,946",100%,2020
148,Fatale,7031289.0,"63,06,897",89.70%,"7,24,392",10.30%,2020
149,Dragon Rider,6977378.0,0,0,"69,77,378",100%,2020
150,Jim Button and the Wild 13,6933267.0,0,0,"69,33,267",100%,2020
151,Psy 3: W imie zasad,6725146.0,0,0,"67,25,146",100%,2020
152,Blood Moon Party,6709383.0,0,0,"67,09,383",100%,2020
153,Innocence,6688330.0,0,0,"66,59,968",99.60%,2020
154,Shubh Mangal Zyada Saavdhan,6574905.0,0,0,"65,74,905",100%,2020
155,Chhapaak,6532100.0,"6,04,334",9.30%,"59,27,766",90.70%,2020
156,"Love Me, Love Me Not",6494241.0,0,0,"64,94,241",100%,2020
157,Hammamet,6434874.0,0,0,"64,34,874",100%,2020
158,Lindenberg! Mach dein Ding,6404964.0,0,0,"64,04,964",100%,2020
159,Midnight Swan,6397065.0,0,0,"63,97,065",100%,2020
160,Nausicaä of the Valley of the Wind 2020 Re0release,6395525.0,0,0,"63,95,525",100%,2020
161,Simply Black,6323750.0,0,0,"63,23,750",100%,2020
162,My Boyfriend's Meds,6292780.0,"29,71,116",47.20%,"33,21,664",52.80%,2020
163,Bill & Ted Face the Music,6274027.0,"34,39,660",54.80%,"28,34,367",45.20%,2020
164,Hotel Belgrade,6189882.0,0,0,"61,89,882",100%,2020
165,How to Be a Good Wife,6033430.0,0,0,"60,33,430",100%,2020
166,The Legacy of Dr. Death: Black File,6024046.0,0,0,"60,24,046",100%,2020
167,A Piece of Cake,6008448.0,0,0,"60,08,448",100%,2020
168,The Rhythm Section,5989583.0,"54,37,971",90.80%,"5,51,612",9.20%,2020
169,How I Became a Gangster,5975729.0,0,0,"59,75,729",100%,2020
170,The Innocent,5929392.0,"22,549",0.40%,"59,06,843",99.60%,2020
171,Twiceborn,5880157.0,"11,527",0.20%,"58,68,630",99.80%,2020
172,The Royal Bride,5830719.0,0,0,"58,30,719",100%,2020
173,Beasts Clawing at Straws,5796059.0,0,0,"57,96,059",100%,2020
174,The Lion King 2020 Re0release,5773266.0,0,0,"57,73,266",100%,2020
175,Last Letter,5663972.0,0,0,"56,63,972",100%,2020
176,Yowamushi Pedal: The Movie 2020 Re0release,5624218.0,0,0,"56,24,218",100%,2020
177,Hocus Pocus 2020 Re0release,5609193.0,"48,28,000",86.10%,"7,81,193",13.90%,2020
178,Klassikokkutulek 2: Pulmad ja matused,5543147.0,0,0,"55,43,147",100%,2020
179,Mama Weed,5461144.0,"29,151",0.50%,"54,31,993",99.50%,2020
180,Divorce Club,5316313.0,0,0,"53,16,313",100%,2020
181,Cats & Dogs 3: Paws Unite,5300000.0,0,0,"53,00,000",100%,2020
182,Cindy La Regia,5222322.0,0,0,"52,22,322",100%,2020
183,Run,5184368.0,0,0,"51,84,368",100%,2020
184,Love Aaj Kal,5120794.0,0,0,"51,20,794",100%,2020
185,Masked Ward,5107013.0,0,0,"51,07,013",100%,2020
186,Ayyappanum Koshiyum,5088713.0,0,0,"50,88,713",100%,2020
187,Baba Parasi,5084342.0,0,0,"50,84,342",100%,2020
188,Die Känguru0Chroniken,5081127.0,0,0,"50,81,127",100%,2020
189,The Real Exorcist,5035830.0,0,0,"50,35,830",100%,2020
190,Mayday,5011408.0,0,0,"50,11,408",100%,2020
191,Bheeshma,4997080.0,0,0,"49,97,080",100%,2020
192,Made in Abyss: Dawn of the Deep Soul,4971635.0,0,0,"49,71,635",100%,2020
193,Godai 0 The Wunderkind,4948225.0,0,0,"49,48,225",100%,2020
194,Military Wives,4890505.0,0,0,"48,90,505",100%,2020
195,Panga,4886124.0,"5,82,720",11.90%,"43,03,404",88.10%,2020
196,The Tales for Old and Young,4853143.0,0,0,"48,53,143",100%,2020
197,Streltsov,4850073.0,0,0,"48,50,073",100%,2020
198,Persian Lessons,4849240.0,0,0,"48,49,240",100%,2020
199,The SpongeBob Movie: Sponge on the Run,4810790.0,"48,10,790",100%,0,0,2020
0,Spider0Man: No Way Home,1912233593.0,"80,47,93,477",42.10%,"1,10,74,40,116",57.90%,2021
1,The Battle at Lake Changjin,902548476.0,"3,42,411",0,"90,22,06,065",100%,2021
2,"Hi, Mom",822009764.0,0,0,"82,20,09,764",100%,2021
3,No Time to Die,774153007.0,"16,08,91,007",20.80%,"61,32,62,000",79.20%,2021
4,F9: The Fast Saga,726229501.0,"17,30,05,945",23.80%,"55,32,23,556",76.20%,2021
5,Detective Chinatown 3,686257563.0,0,0,"68,62,57,563",100%,2021
6,Venom: Let There Be Carnage,506863592.0,"21,35,50,366",42.10%,"29,33,13,226",57.90%,2021
7,Godzilla vs. Kong,470116094.0,"10,09,16,094",21.50%,"36,92,00,000",78.50%,2021
8,Shang0Chi and the Legend of the Ten Rings,432243292.0,"22,45,43,292",51.90%,"20,77,00,000",48.10%,2021
9,Sing 2,408402685.0,"16,27,90,990",39.90%,"24,56,11,695",60.10%,2021
10,Eternals,402064899.0,"16,48,70,234",41%,"23,71,94,665",59%,2021
11,Dune: Part One,402027830.0,"10,83,27,830",26.90%,"29,37,00,000",73.10%,2021
12,Black Widow,379751655.0,"18,36,51,655",48.40%,"19,61,00,000",51.60%,2021
13,Free Guy,331526598.0,"12,16,26,598",36.70%,"20,99,00,000",63.30%,2021
14,A Quiet Place Part II,297372261.0,"16,00,72,261",53.80%,"13,73,00,000",46.20%,2021
15,Encanto,256786742.0,"9,60,93,622",37.40%,"16,06,93,120",62.60%,2021
16,Cruella,233503234.0,"8,61,03,234",36.90%,"14,74,00,000",63.10%,2021
17,"My Country, My Parents",221831086.0,"1,77,133",0,"22,16,53,953",99.90%,2021
18,Jungle Cruise,220889446.0,"11,69,87,516",53%,"10,39,01,930",47%,2021
19,The Conjuring: The Devil Made Me Do It,206431050.0,"6,56,31,050",31.80%,"14,08,00,000",68.20%,2021
20,Raging Fire,205842393.0,"3,85,305",0.20%,"20,54,57,088",99.80%,2021
21,Ghostbusters: Afterlife,204334455.0,"12,93,60,575",63.30%,"7,49,73,880",36.70%,2021
22,Chinese Doctors,197143218.0,0,0,"19,71,43,218",100%,2021
23,Cliff Walkers,181325565.0,"1,52,972",0,"18,11,72,593",99.90%,2021
24,The Suicide Squad,168717425.0,"5,58,17,425",33.10%,"11,29,00,000",66.90%,2021
25,Jujutsu Kaisen 0,166760828.0,"3,45,42,754",20.70%,"13,22,18,074",79.30%,2021
26,Space Jam: A New Legacy,163692228.0,"7,05,92,228",43.10%,"9,31,00,000",56.90%,2021
27,The Matrix Resurrections,157386805.0,"3,76,86,805",23.90%,"11,97,00,000",76.10%,2021
28,Peter Rabbit 2: The Runaway,153901717.0,"4,05,01,717",26.30%,"11,34,00,000",73.70%,2021
29,House of Gucci,153269161.0,"5,38,09,574",35.10%,"9,94,59,587",64.90%,2021
30,A Writer's Odyssey,150123320.0,"1,60,013",0.10%,"14,99,63,307",99.90%,2021
31,The Boss Baby 2: Family Business,146745280.0,"5,73,00,280",39%,"8,94,45,000",61%,2021
32,PAW Patrol: The Movie,144327371.0,"4,01,27,371",27.80%,"10,42,00,000",72.20%,2021
33,Tom & Jerry,136536687.0,"4,65,36,687",34.10%,"9,00,00,000",65.90%,2021
34,Be Somebody,132326332.0,0,0,"13,23,26,332",100%,2021
35,Halloween Kills,131647155.0,"9,20,02,155",69.90%,"3,96,45,000",30.10%,2021
36,Raya and the Last Dragon,130423032.0,"5,47,23,032",42%,"7,57,00,000",58%,2021
37,Sister,128317206.0,0,0,"12,83,17,206",100%,2021
38,The King's Man,125897478.0,"3,71,76,373",29.50%,"8,87,21,105",70.50%,2021
39,The Addams Family 2,119815153.0,"5,64,89,153",47.10%,"6,33,26,000",52.90%,2021
40,My Love,116720921.0,"86,252",0,"11,66,34,669",99.90%,2021
41,Clifford the Big Red Dog,107347356.0,"4,89,47,356",45.60%,"5,84,00,000",54.40%,2021
42,Wrath of Man,103966489.0,"2,74,66,489",26.40%,"7,65,00,000",73.60%,2021
43,Detective Conan: The Scarlet Bullet,95371578.0,0,0,"9,53,71,578",100%,2021
44,Evangelion: 3.0+1.01 Thrice Upon a Time,93882453.0,"8,10,744",0.90%,"9,30,71,709",99.10%,2021
45,End Game,91824961.0,"23,149",0,"9,18,01,812",100%,2021
46,Old,90146510.0,"4,82,76,510",53.60%,"4,18,70,000",46.40%,2021
47,Mortal Kombat,84426031.0,"4,23,26,031",50.10%,"4,21,00,000",49.90%,2021
48,Boonie Bears: The Wild Life,78132231.0,0,0,"7,81,32,231",100%,2021
49,Candyman,77411570.0,"6,11,86,570",79%,"1,62,25,000",21%,2021
50,The Forever Purge,76994245.0,"4,45,39,245",57.80%,"3,24,55,000",42.20%,2021
51,West Side Story,76016171.0,"3,85,30,322",50.70%,"3,74,85,849",49.30%,2021
52,1921,75159828.0,0,0,"7,51,59,828",100%,2021
53,Hitman's Wife's Bodyguard,70060492.0,"3,80,14,727",54.30%,"3,20,45,765",45.70%,2021
54,Escape Room: Tournament of Champions,65774490.0,"2,53,14,753",38.50%,"4,04,59,737",61.50%,2021
55,Belle,64679830.0,"40,18,313",6.20%,"6,06,61,517",93.80%,2021
56,Ron's Gone Wrong,60692022.0,"2,30,09,270",37.90%,"3,76,82,752",62.10%,2021
57,Cloudy Mountain,58348836.0,0,0,"5,83,48,836",100%,2021
58,Avatar 2021 Re0release,57995770.0,0,0,"5,79,95,770",100%,2021
59,Nobody,57510518.0,"2,75,68,035",47.90%,"2,99,42,483",52.10%,2021
60,New Gods: Nezha Reborn,56088478.0,0,0,"5,60,88,478",100%,2021
61,Upcoming,54300000.0,0,0,"5,43,00,000",100%,2021
62,Don't Breathe 2,53785551.0,"3,27,12,950",60.80%,"2,10,72,601",39.20%,2021
63,Man in Love,52946097.0,0,0,"5,29,46,097",100%,2021
64,Break Through the Darkness,52700000.0,0,0,"5,27,00,000",100%,2021
65,Schemes in Antiques,51637422.0,"36,501",0,"5,16,00,921",99.90%,2021
66,Luca,51074773.0,"13,24,302",2.60%,"4,97,50,471",97.40%,2021
67,Belfast,49158709.0,"92,50,870",18.80%,"3,99,07,839",81.20%,2021
68,My Hero Academia: World Heroes' Mission,46940541.0,"1,22,71,658",26.10%,"3,46,68,883",73.90%,2021
69,The French Dispatch,46333545.0,"1,61,24,375",34.80%,"3,02,09,170",65.20%,2021
70,In the Heights,45175167.0,"2,99,75,167",66.40%,"1,52,00,000",33.60%,2021
71,Love Will Tear Us Apart,45060290.0,0,0,"4,50,60,290",100%,2021
72,Spirit Untamed,42717215.0,"1,77,16,215",41.50%,"2,50,01,000",58.50%,2021
73,Resident Evil: Welcome to Raccoon City,41914915.0,"1,70,00,612",40.60%,"2,49,14,303",59.40%,2021
74,Spiral,40618920.0,"2,32,16,862",57.20%,"1,74,02,058",42.80%,2021
75,Snake Eyes,40064325.0,"2,82,64,325",70.50%,"1,18,00,000",29.50%,2021
76,Tokyo Revengers,39714624.0,0,0,"3,97,14,624",100%,2021
77,Nightmare Alley,39629195.0,"1,13,38,107",28.60%,"2,82,91,088",71.40%,2021
78,Nomadland,39458207.0,"37,00,000",9.40%,"3,57,58,207",90.60%,2021
79,King Richard,39429285.0,"1,51,29,285",38.40%,"2,43,00,000",61.60%,2021
80,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,38052695.0,0,0,"3,80,52,695",100%,2021
81,The Yinyang Master,37690000.0,0,0,"3,76,90,000",100%,2021
82,Rurouni Kenshin: Final Chapter Part I 0 The Final,36964978.0,0,0,"3,69,64,978",100%,2021
83,The Door Lock,36100000.0,0,0,"3,61,00,000",100%,2021
84,We Made a Beautiful Bouquet,35042879.0,0,0,"3,50,42,879",100%,2021
85,Malignant,34891791.0,"1,33,91,791",38.40%,"2,15,00,000",61.60%,2021
86,Licorice Pizza,33276075.0,"1,73,18,007",52%,"1,59,58,068",48%,2021
87,Respect,32882823.0,"2,42,78,399",73.80%,"86,04,424",26.20%,2021
88,Big Red Envelope,32800000.0,0,0,"3,28,00,000",100%,2021
89,Masquerade Night,32287400.0,0,0,"3,22,87,400",100%,2021
90,Once Upon a Time in Hong Kong,32218874.0,0,0,"3,22,18,874",100%,2021
91,Home Sweet Home,32178677.0,0,0,"3,21,78,677",100%,2021
92,The Little Things,30842746.0,"1,53,42,746",49.70%,"1,55,00,000",50.30%,2021
93,The Unholy,30832137.0,"1,55,32,137",50.40%,"1,53,00,000",49.60%,2021
94,The Last Duel,30552111.0,"1,08,53,945",35.50%,"1,96,98,166",64.50%,2021
95,Escape from Mogadishu,29902716.0,"3,46,271",1.20%,"2,95,56,445",98.80%,2021
96,Master,28692230.0,0,0,"2,86,92,230",100%,2021
97,The Last Warrior: Root of Evil,28357398.0,0,0,"2,83,57,398",100%,2021
98,The Last Warrior: A Messenger of Darkness,27052365.0,0,0,"2,70,52,365",100%,2021
99,American Underdog,26514814.0,"2,65,14,814",100%,0,0,2021
100,Chaos Walking,26508132.0,"1,32,87,908",50.10%,"1,32,20,224",49.90%,2021
101,The Courier,26001227.0,"66,13,432",25.40%,"1,93,87,795",74.60%,2021
102,Spencer,25246967.0,"70,86,632",28.10%,"1,81,60,335",71.90%,2021
103,Parallel Mothers,23099858.0,"22,97,501",9.90%,"2,08,02,357",90.10%,2021
104,The Marksman,23076711.0,"1,55,66,093",67.50%,"75,10,618",32.50%,2021
105,99.9 Criminal Lawyer: The Movie,23055069.0,0,0,"2,30,55,069",100%,2021
106,Last Night in Soho,22957625.0,"1,01,27,625",44.10%,"1,28,30,000",55.90%,2021
107,The Day We Lit Up the Sky,22500000.0,0,0,"2,25,00,000",100%,2021
108,School of Magical Animals,22029698.0,"2,88,414",1.30%,"2,17,41,284",98.70%,2021
109,Kaamelott: First Installment,21979122.0,"1,88,000",0.90%,"2,17,91,122",99.10%,2021
110,After We Fell,21753705.0,"21,70,750",10%,"1,95,82,955",90%,2021
111,Rurouni Kenshin: Final Chapter Part II 0 The Beginning,21318560.0,0,0,"2,13,18,560",100%,2021
112,Wish Dragon,21120000.0,0,0,"2,11,20,000",100%,2021
113,Crayon Shin0chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,20752104.0,0,0,"2,07,52,104",100%,2021
114,Stillwater,19754272.0,"1,44,65,535",73.20%,"52,88,737",26.80%,2021
115,The Wolf and the Lion,19510578.0,"20,72,173",10.60%,"1,74,38,405",89.40%,2021
116,Les Tuche 4,19259766.0,0,0,"1,92,59,766",100%,2021
117,Dear Evan Hansen,19133454.0,"1,50,02,646",78.40%,"41,30,808",21.60%,2021
118,Those Who Wish Me Dead,19107200.0,"74,07,200",38.80%,"1,17,00,000",61.20%,2021
119,The Pioneer,18900000.0,0,0,"1,89,00,000",100%,2021
120,The Green Knight,18887953.0,"1,71,73,321",90.90%,"17,14,632",9.10%,2021
121,Antlers,18867659.0,"1,06,19,670",56.30%,"82,47,989",43.70%,2021
122,Sinkhole,18816801.0,0,0,"1,88,16,801",100%,2021
123,Mobile Suit Gundam: Hathaway,18731309.0,0,0,"1,87,31,309",100%,2021
124,The Stronghold,18066143.0,0,0,"1,80,66,143",100%,2021
125,"Dad, I'm Sorry",17480489.0,"3,50,000",2%,"1,71,30,489",98%,2021
126,Gintama: The Final,17252960.0,0,0,"1,72,52,960",100%,2021
127,Railway Heroes,17223704.0,0,0,"1,72,23,704",100%,2021
128,Your Turn to Kill,16511822.0,0,0,"1,65,11,822",100%,2021
129,Cry Macho,16510734.0,"1,03,10,734",62.40%,"62,00,000",37.60%,2021
130,Reminiscence,16400193.0,"39,00,193",23.80%,"1,25,00,000",76.20%,2021
131,Legend No. 17,16096860.0,0,0,"1,60,96,860",100%,2021
132,Upon the Magic Roads,15990882.0,0,0,"1,59,90,882",100%,2021
133,Harry Potter and the Sorcerer's Stone 2021 Re0release,15591681.0,"7,99,342",5.10%,"1,46,04,379",93.70%,2021
134,The Dry,15576286.0,"3,64,237",2.30%,"1,52,12,049",97.70%,2021
135,The Night House,15437703.0,"71,00,581",46%,"83,37,122",54%,2021
136,Drive My Car,15356410.0,"23,52,240",15.30%,"1,30,04,170",84.70%,2021
137,Minari,15288578.0,"31,10,580",20.30%,"1,21,77,998",79.70%,2021
138,Something About Love,15204017.0,0,0,"1,52,04,017",100%,2021
139,Anita,15017470.0,"5,56,632",3.70%,"1,44,60,838",96.30%,2021
140,And So the Baton Is Passed,14403588.0,0,0,"1,44,03,588",100%,2021
141,The Tomorrow War,14400000.0,0,0,"1,44,00,000",100%,2021
142,Sword Art Online: Progressive 0 Aria of a Starless Night,14032747.0,"10,50,000",7.50%,"1,29,82,747",92.50%,2021
143,Christmas with the Chosen: The Messengers,13728000.0,"1,37,28,000",100%,0,0,2021
144,Eiffel,13573923.0,"4,44,814",3.30%,"1,31,29,109",96.70%,2021
145,OSS 117: From Africa with Love,13457801.0,0,0,"1,34,57,801",100%,2021
146,Hostage: Missing Celebrity,13174292.0,0,0,"1,31,74,292",100%,2021
147,Vakeel Saab,13056490.0,0,0,"1,30,56,490",100%,2021
148,The Many Saints of Newark,13037403.0,"82,37,403",63.20%,"48,00,000",36.80%,2021
149,The Monkey King: Reborn,13017088.0,0,0,"1,30,17,088",100%,2021
150,No Escapes,12916151.0,0,0,"1,29,16,151",100%,2021
151,The Bodin's in the Land of Smile,12872253.0,0,0,"1,28,72,253",100%,2021
152,The Worst Person in the World,12687507.0,"30,34,775",23.90%,"96,52,732",76.10%,2021
153,Character,12628017.0,0,0,"1,26,28,017",100%,2021
154,On Your Mark,12100000.0,0,0,"1,21,00,000",100%,2021
155,On the Line,12058986.0,0,0,"1,20,58,986",100%,2021
156,Stand by Me,11900000.0,0,0,"1,19,00,000",100%,2021
157,The Fable: The Killer Who Doesn't Kill,11325545.0,0,0,"1,13,25,545",100%,2021
158,What Did You Eat Yesterday?,11320893.0,0,0,"1,13,20,893",100%,2021
159,Aline,11149943.0,"6,67,815",6%,"1,04,82,128",94%,2021
160,Krack,10442916.0,0,0,"1,04,42,916",100%,2021
161,Realm of Terracotta,10363914.0,0,0,"1,03,63,914",100%,2021
162,Kaiserschmarrndrama,10357720.0,0,0,"1,03,57,720",100%,2021
163,"Caution, Hazardous Wife: The Movie",10356359.0,0,0,"1,03,56,359",100%,2021
164,Detective Conan: The Scarlet Alibi,10308627.0,0,0,"1,03,08,627",100%,2021
165,Never Stop,10224935.0,0,0,"1,02,24,935",100%,2021
166,Ainbo,10172403.0,0,0,"1,01,72,403",100%,2021
167,Eiga Sumikkogurashi: Aoi tsukiyo no mahô no ko,9742510.0,0,0,"97,42,510",100%,2021
168,Black Box,9738741.0,0,0,"97,38,741",100%,2021
169,The Soul,9600000.0,0,0,"96,00,000",100%,2021
170,¡A todo tren! Destino Asturias,9544171.0,0,0,"95,44,171",100%,2021
171,Baragaki: Unbroken Samurai,9481437.0,0,0,"94,81,437",100%,2021
172,Dad,9267397.0,0,0,"92,67,397",100%,2021
173,The Lord of the Rings: The Fellowship of the Ring 2021 Re0release,8990599.0,0,0,"83,77,569",93.20%,2021
174,All About My Mother,8900000.0,0,0,"89,00,000",100%,2021
175,The Eleventh Chapter,8844997.0,0,0,"88,44,997",100%,2021
176,The Medium,8826689.0,0,0,"88,26,689",100%,2021
177,The Vault,8803864.0,0,0,"88,03,864",100%,2021
178,Kaguya0sama: Love Is War,8794981.0,0,0,"87,94,981",100%,2021
179,Moonbound,8749618.0,0,0,"87,49,618",100%,2021
180,The Protégé,8737253.0,"74,46,823",85.20%,"12,90,430",14.80%,2021
181,Lost Illusions,8635184.0,"1,26,391",1.50%,"85,08,793",98.50%,2021
182,Agent Backkom: King's Bear,8619446.0,0,0,"86,19,446",100%,2021
183,Pil's Adventures,8567345.0,0,0,"85,67,345",100%,2021
184,Honey Lemon Soda,8441488.0,0,0,"84,41,488",100%,2021
185,Delicious,8371523.0,0,0,"83,71,523",100%,2021
186,I Don't Have Any Money Left in My Retirement Account,8204616.0,0,0,"82,04,616",100%,2021
187,Girls to Buy,8177284.0,0,0,"81,77,284",100%,2021
188,Green Snake,8170000.0,0,0,"81,70,000",100%,2021
189,New Happy Dad and Son 4,8070000.0,0,0,"80,70,000",100%,2021
190,Sunny Sisters,7880000.0,0,0,"78,80,000",100%,2021
191,Contra,7762797.0,0,0,"77,62,797",100%,2021
192,Hard Hit,7658021.0,0,0,"76,58,021",100%,2021
193,Little Canned Men,7600000.0,0,0,"76,00,000",100%,2021
194,Pushpa: The Rise 0 Part 1,7592374.0,"13,20,000",17.40%,"62,72,374",82.60%,2021
195,The Mauritanian,7527030.0,"8,36,536",11.10%,"66,90,494",88.90%,2021
196,The Ice Road,7502846.0,0,0,"75,02,846",100%,2021
197,Judas and the Black Messiah,7478009.0,"54,78,009",73.30%,"20,00,000",26.70%,2021
198,Love Letter 2021 Re0release,7400000.0,0,0,"74,00,000",100%,2021
199,Signal: The Movie,7388603.0,0,0,"73,88,603",100%,2021
0,Avatar: The Way of Water,2320250281.0,"68,40,75,767",29.50%,"1,63,61,74,514",70.50%,2022
1,Top Gun: Maverick,1495696292.0,"71,87,32,821",48.10%,"77,69,63,471",51.90%,2022
2,Jurassic World Dominion,1001978080.0,"37,68,51,080",37.60%,"62,51,27,000",62.40%,2022
3,Doctor Strange in the Multiverse of Madness,955775804.0,"41,13,31,607",43%,"54,44,44,197",57%,2022
4,Minions: The Rise of Gru,940203765.0,"37,02,70,765",39.40%,"56,99,33,000",60.60%,2022
5,Black Panther: Wakanda Forever,859208836.0,"45,38,29,060",52.80%,"40,53,79,776",47.20%,2022
6,The Batman,772245583.0,"36,93,45,583",47.80%,"40,29,00,000",52.20%,2022
7,Thor: Love and Thunder,760928081.0,"34,32,56,830",45.10%,"41,76,71,251",54.90%,2022
8,Water Gate Bridge,626571697.0,"1,17,294",0,"62,64,54,403",100%,2022
9,Puss in Boots: The Last Wish,481726788.0,"18,60,90,535",38.60%,"29,56,36,253",61.40%,2022
10,Moon Man,460237662.0,0,0,"46,02,37,662",100%,2022
11,Fantastic Beasts: The Secrets of Dumbledore,407150844.0,"9,58,50,844",23.50%,"31,13,00,000",76.50%,2022
12,Uncharted,407141258.0,"14,86,48,820",36.50%,"25,84,92,438",63.50%,2022
13,Sonic the Hedgehog 2,405421518.0,"19,08,72,904",47.10%,"21,45,48,614",52.90%,2022
14,Black Adam,393452111.0,"16,81,52,111",42.70%,"22,53,00,000",57.30%,2022
