Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
20,Real Steel,299268508.0,"8,54,68,508",28.60%,"21,38,00,000",71.40%,2011
21,Bridesmaids,288383523.0,"16,91,06,725",58.60%,"11,92,76,798",41.40%,2011
22,Super 8,260095986.0,"12,70,04,179",48.80%,"13,30,91,807",51.20%,2011
23,Rango,245724603.0,"12,34,77,607",50.30%,"12,22,46,996",49.70%,2011
24,Green Lantern,237201172.0,"11,66,01,172",49.20%,"12,06,00,000",50.80%,2011
25,The Girl with the Dragon Tattoo,232617430.0,"10,25,15,793",44.10%,"13,01,01,637",55.90%,2011
26,The Green Hornet,227817248.0,"9,87,80,042",43.40%,"12,90,37,206",56.60%,2011
27,Immortals,226904017.0,"8,35,04,017",36.80%,"14,34,00,000",63.20%,2011
28,The Help,216639112.0,"16,97,08,112",78.30%,"4,69,31,000",21.70%,2011
29,Bad Teacher,216197492.0,"10,02,92,856",46.40%,"11,59,04,636",53.60%,2011
30,Just Go with It,214945591.0,"10,30,28,109",47.90%,"11,19,17,482",52.10%,2011
31,Battle Los Angeles,211819354.0,"8,35,52,429",39.40%,"12,82,66,925",60.60%,2011
32,Horrible Bosses,209838559.0,"11,75,38,559",56%,"9,23,00,000",44%,2011
33,Paranormal Activity 3,207039844.0,"10,40,28,807",50.20%,"10,30,11,037",49.80%,2011
34,Gnomeo & Juliet,193967670.0,"9,99,67,670",51.50%,"9,40,00,000",48.50%,2011
35,Mr. Popper's Penguins,187361754.0,"6,82,24,452",36.40%,"11,91,37,302",63.60%,2011
36,The Lion King 2011 3D Release,186042001.0,"9,42,42,001",50.70%,"9,18,00,000",49.30%,2011
37,Hugo,185770160.0,"7,38,64,507",39.80%,"11,19,05,653",60.20%,2011
38,Hop,183953723.0,"10,80,85,305",58.80%,"7,58,68,418",41.20%,2011
39,War Horse,177584879.0,"7,98,84,879",45%,"9,77,00,000",55%,2011
40,The Descendants,177243185.0,"8,25,84,160",46.60%,"9,46,59,025",53.40%,2011
41,Cowboys & Aliens,174822325.0,"10,02,40,551",57.30%,"7,45,81,774",42.70%,2011
42,In Time,173930596.0,"3,75,20,095",21.60%,"13,64,10,501",78.40%,2011
43,Zookeeper,169852759.0,"8,03,60,843",47.30%,"8,94,91,916",52.70%,2011
44,The Muppets,165184237.0,"8,86,31,237",53.70%,"7,65,53,000",46.30%,2011
45,Limitless,161849455.0,"7,92,49,455",49%,"8,26,00,000",51%,2011
46,Johnny English Reborn,160078586.0,"83,05,970",5.20%,"15,17,72,616",94.80%,2011
